abortion,state,eth,male,age,educ,repvote,region
1,WI,White,-0.5,60-69,4-Year College,0.50407989,North Central
1,NJ,White,-0.5,60-69,HS,0.427158099,Northeast
0,FL,White,-0.5,40-49,HS,0.506188355,South
1,FL,White,0.5,70+,Some college,0.506188355,South
0,IL,White,-0.5,50-59,Some college,0.409799486,North Central
0,OK,Other,-0.5,18-29,Some college,0.693047372,South
0,FL,White,-0.5,60-69,Some college,0.506188355,South
0,TX,White,0.5,50-59,Post-grad,0.547132256,South
0,FL,White,-0.5,70+,4-Year College,0.506188355,South
1,TX,Hispanic,0.5,18-29,4-Year College,0.547132256,South
1,TX,Other,0.5,60-69,Post-grad,0.547132256,South
0,NY,White,-0.5,30-39,HS,0.382275815,Northeast
1,TX,White,-0.5,70+,4-Year College,0.547132256,South
0,WI,White,-0.5,30-39,Some college,0.50407989,North Central
1,FL,White,-0.5,30-39,4-Year College,0.506188355,South
0,CA,White,0.5,40-49,Some college,0.338717892,West
0,CO,White,-0.5,70+,4-Year College,0.473166666,West
1,AZ,White,-0.5,30-39,HS,0.518900234,West
1,KY,White,0.5,60-69,HS,0.65670629,South
1,CA,Hispanic,0.5,50-59,Some college,0.338717892,West
0,MA,White,-0.5,18-29,HS,0.353487213,Northeast
1,UT,White,0.5,18-29,4-Year College,0.623836582,West
0,NY,White,-0.5,18-29,HS,0.382275815,Northeast
0,FL,White,-0.5,60-69,Post-grad,0.506188355,South
0,NY,White,0.5,50-59,Some college,0.382275815,Northeast
1,MI,White,-0.5,30-39,4-Year College,0.501176682,North Central
0,WA,White,0.5,60-69,4-Year College,0.412130688,West
0,TN,Black,-0.5,30-39,4-Year College,0.63624343,South
1,PA,White,-0.5,40-49,HS,0.503755358,Northeast
1,WV,White,-0.5,60-69,HS,0.721610523,South
1,OK,White,0.5,70+,Post-grad,0.693047372,South
1,IL,White,-0.5,18-29,Post-grad,0.409799486,North Central
0,FL,White,-0.5,70+,Some college,0.506188355,South
0,IL,White,-0.5,30-39,Post-grad,0.409799486,North Central
0,CA,White,-0.5,70+,4-Year College,0.338717892,West
1,MT,White,0.5,50-59,HS,0.611096643,West
1,TN,White,-0.5,40-49,Some college,0.63624343,South
0,CA,White,0.5,60-69,4-Year College,0.338717892,West
0,AR,Black,0.5,18-29,HS,0.642851377,South
1,WA,Hispanic,-0.5,30-39,HS,0.412130688,West
1,TX,White,-0.5,70+,No HS,0.547132256,South
0,NC,Black,-0.5,40-49,4-Year College,0.519037458,South
0,FL,Black,-0.5,60-69,Some college,0.506188355,South
0,DE,White,0.5,70+,4-Year College,0.440013786,South
0,PA,White,-0.5,70+,HS,0.503755358,Northeast
0,MA,White,0.5,60-69,Some college,0.353487213,Northeast
1,WA,White,-0.5,70+,HS,0.412130688,West
0,NJ,Black,0.5,30-39,4-Year College,0.427158099,Northeast
0,CA,White,-0.5,70+,Post-grad,0.338717892,West
0,FL,White,0.5,18-29,Some college,0.506188355,South
1,PA,White,0.5,18-29,Some college,0.503755358,Northeast
1,CA,White,0.5,50-59,4-Year College,0.338717892,West
1,PA,White,-0.5,18-29,4-Year College,0.503755358,Northeast
